LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error
2020-07-19 14:36:15,1900-01-00 00:00:00,,A8:6B:7C:92:5A:94,-29,,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:15,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-31,WPA2,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:15,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-29,WPA2,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:15,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-29,WPA2,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:15,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-29,WPA2,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:16,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-27,WPA2,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:16,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-27,WPA2,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:16,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-27,WPA2,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:16,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-27,WPA2,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:16,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-29,WPA2,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:16,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-31,WPA2,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:16,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-31,WPA2,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:16,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-31,WPA2,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:16,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-29,WPA2,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:16,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-29,WPA2,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:16,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-31,WPA2,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:17,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-31,WPA2,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:17,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-31,WPA2,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:17,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-31,WPA2,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:17,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-29,WPA2,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:17,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-31,WPA2,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:17,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-31,WPA2,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:17,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-31,WPA2,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:17,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-31,WPA2,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:17,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-31,WPA2,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:17,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-31,WPA2,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:17,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-35,WPA2,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:18,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-31,WPA2,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:18,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-31,WPA2,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:18,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-31,WPA2,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:18,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-31,WPA2,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:18,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-31,WPA2,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:18,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-31,WPA2,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:18,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-31,WPA2,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:18,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-29,WPA2,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:18,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-31,WPA2,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:18,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-31,WPA2,0.000000,0.000000,0.000,0.000
2020-07-19 14:36:18,1900-01-00 00:00:00,360WiFi-925A94,A8:6B:7C:92:5A:94,-33,WPA2,0.000000,0.000000,0.000,0.000
